Minute,Average of GHI,Average of Temperature
10250,0,6.300000000000001
10260,0,6.300000000000001
10270,0,6.2
10280,0,6.2
10290,0,6.1000000000000005
10300,0,6.1000000000000005
10310,0,6.1000000000000005
10320,0,6
10330,0,6
10340,0,5.9
10350,0,5.9
10360,0,5.800000000000001
10370,0,5.800000000000001
10380,0,5.7
10390,0,5.7
10400,0,5.7
10410,0,5.7
10420,0,5.6000000000000005
10430,0,5.6000000000000005
10440,0,5.6000000000000005
10450,0,5.6000000000000005
10460,0,5.6000000000000005
10470,0,5.6000000000000005
10480,0,5.7
10490,0,5.7
10500,0,5.7
10510,0,6.300000000000001
10520,0,6.800000000000001
10530,0,7.300000000000001
10540,0,7.9
10550,32,8.4
10560,56,8.9
10570,84,9.4
10580,113,9.9
10590,143,10.4
10600,175,10.9
10610,206,11.3
10620,237,11.8
10630,267,12.5
10640,297,13.100000000000001
10650,326,13.8
10660,354,14.5
10670,381,15.100000000000001
10680,407,15.8
10690,432,16.5
10700,455,17.1
10710,478,17.8
10720,498,18.5
10730,517,19.1
10740,535,19.8
10750,551,20.1
10760,565,20.5
10770,578,20.8
10780,588,21.1
10790,598,21.5
10800,605,21.8
10810,610,22
10820,614,22.200000000000003
10830,616,22.400000000000002
10840,616,22.5
10850,614,22.700000000000003
10860,610,22.900000000000002
10870,605,23
10880,598,23.1
10890,589,23.200000000000003
10900,577,23.3
10910,564,23.400000000000002
10920,550,23.400000000000002
10930,531,23.400000000000002
10940,513,23.3
10950,494,23.3
10960,473,23.3
10970,451,23.200000000000003
10980,427,23.200000000000003
10990,403,22.900000000000002
11000,377,22.6
11010,350,22.3
11020,321,22
11030,292,21.8
11040,262,21.5
11050,231,21.5
11060,201,21.5
11070,170,21.5
11080,139,21.5
11090,109,21.5
11100,80,18.6
11110,53,18.2
11120,30,17.7
11130,0,17.2
11140,0,16.7
11150,0,16.2
11160,0,15.700000000000001
11170,0,15.3
11180,0,14.9
11190,0,14.4
11200,0,14
11210,0,13.600000000000001
11220,0,13.100000000000001
11230,0,12.9
11240,0,12.700000000000001
11250,0,12.5
11260,0,12.3
11270,0,12
11280,0,11.8
11290,0,11.700000000000001
11300,0,11.600000000000001
11310,0,11.5
11320,0,11.3
11330,0,11.200000000000001
11340,0,11.100000000000001
11350,0,11
11360,0,11
11370,0,10.9
11380,0,10.8
11390,0,10.8
11400,0,10.700000000000001
11410,0,10.700000000000001
11420,0,10.600000000000001
11430,0,10.600000000000001
11440,0,10.5
11450,0,10.5
11460,0,10.5
11470,0,10.4
11480,0,10.4
11490,0,10.3
11500,0,10.3
11510,0,10.200000000000001
11520,0,10.200000000000001
11530,0,10.100000000000001
11540,0,10.100000000000001
11550,0,10
11560,0,10
11570,0,9.9
11580,0,9.9
11590,0,9.8
11600,0,9.8
11610,0,9.700000000000001
11620,0,9.700000000000001
11630,0,9.700000000000001
11640,0,9.600000000000001
11650,0,9.600000000000001
11660,0,9.600000000000001
11670,0,9.5
11680,0,9.5
11690,0,9.5
11700,0,9.4
11710,0,9.4
11720,0,9.4
11730,0,9.5
11740,0,9.5
11750,0,9.5
11760,0,9.5
11770,0,9.5
11780,0,9.5
11790,0,9.600000000000001
11800,0,9.600000000000001
11810,0,9.600000000000001
11820,0,9.600000000000001
11830,0,9.600000000000001
11840,0,9.600000000000001
11850,0,9.600000000000001
11860,0,9.600000000000001
11870,0,9.600000000000001
11880,0,9.700000000000001
11890,0,9.700000000000001
11900,0,9.700000000000001
11910,0,9.700000000000001
11920,0,9.700000000000001
11930,0,9.8
11940,0,9.8
11950,0,10.3
11960,0,10.8
11970,0,11.3
11980,0,11.700000000000001
11990,14,12.200000000000001
12000,28,12.700000000000001
12010,43,13.3
12020,60,13.9
12030,46,14.5
12040,56,15.100000000000001
12050,67,15.700000000000001
12060,79,16.3
12070,182,16.6
12080,204,17
12090,160,17.400000000000002
12100,256,17.8
12110,278,18.2
12120,303,18.6
12130,324,19
12140,344,19.3
12150,326,19.700000000000003
12160,359,20
12170,375,20.400000000000002
12180,365,20.700000000000003
12190,305,21
12200,315,21.3
12210,434,21.5
12220,191,21.8
12230,195,22.1
12240,243,22.3
12250,406,22.5
12260,409,22.700000000000003
12270,294,22.900000000000002
12280,349,23
12290,348,23.200000000000003
12300,594,23.400000000000002
12310,423,23.400000000000002
12320,417,23.5
12330,573,23.5
12340,562,23.6
12350,550,23.700000000000003
12360,536,23.700000000000003
12370,520,23.700000000000003
12380,503,23.6
12390,335,23.5
12400,464,23.5
12410,442,23.400000000000002
12420,419,23.3
12430,395,22.900000000000002
12440,369,22.5
12450,342,22.1
12460,315,21.6
12470,286,21.200000000000003
12480,257,20.8
12490,227,20.8
12500,197,20.8
12510,76,20.8
12520,62,20.8
12530,49,20.8
12540,42,17.900000000000002
12550,25,17.5
12560,14,17.1
12570,0,16.8
12580,0,16.400000000000002
12590,0,16
12600,0,15.700000000000001
12610,0,15.4
12620,0,15.200000000000001
12630,0,14.9
12640,0,14.700000000000001
12650,0,14.4
12660,0,14.200000000000001
12670,0,14
12680,0,13.8
12690,0,13.700000000000001
12700,0,13.5
12710,0,13.4
12720,0,13.200000000000001
